Program,Certificate Type,Type,Filename,URL,Status
Virtual and Augmented Reality Technologies,CCC,Course List,Virtual_and_Augmented_Reality_Technologies_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66060.pdf,Downloaded
Virtual and Augmented Reality Technologies,CCC,Course Sequence,Virtual_and_Augmented_Reality_Technologies_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_VirtualandAugmentedRealityTechnologies_csg.pdf,Downloaded
Biotechnology,ATC,Course List,Biotechnology_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6028.pdf,Downloaded
Biotechnology,ATC,Course Sequence,N/A,https://www.mdc.edu/biotechnologyatc,PDF not found
Biotechnology - Bioinformatics,ATC,Course List,Biotechnology_-_Bioinformatics_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6029.pdf,Downloaded
Biotechnology - Bioinformatics,ATC,Course Sequence,N/A,https://www.mdc.edu/bioinformaticscertificate,PDF not found
Biotechnology - Chemical Technology,ATC,Course List,Biotechnology_-_Chemical_Technology_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6030.pdf,Downloaded
Biotechnology - Chemical Technology,ATC,Course Sequence,N/A,https://www.mdc.edu/biochemicalengineeringcertificate,PDF not found
Certified Flight Instructor,ATC,Course List,Certified_Flight_Instructor_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6027.pdf,Downloaded
Certified Flight Instructor,ATC,Course Sequence,N/A,https://www.mdc.edu/flightinstructor/,PDF not found
Compensation and Benefits,ATC,Course List,Compensation_and_Benefits_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6002.pdf,Downloaded
Compensation and Benefits,ATC,Course Sequence,N/A,https://www.mdc.edu/compensationbenefits,PDF not found
Computed Tomography,ATC,Course List,Computed_Tomography_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6037.pdf,Downloaded
Computed Tomography,ATC,Course Sequence,Computed_Tomography_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/ATC_ComputedTomography_csg.pdf,Downloaded
Hospitality Management,ATC,Course List,Hospitality_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6000.pdf,Downloaded
Hospitality Management,ATC,Course Sequence,N/A,https://www.mdc.edu/hospitalitymanagementcertificate,PDF not found
Human Resources Management,ATC,Course List,Human_Resources_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6001.pdf,Downloaded
Human Resources Management,ATC,Course Sequence,N/A,https://www.mdc.edu/humanresourcemanagementcertificate,PDF not found
Magnetic Resonance Imaging,ATC,Course List,Magnetic_Resonance_Imaging_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6036.pdf,Downloaded
Magnetic Resonance Imaging,ATC,Course Sequence,Magnetic_Resonance_Imaging_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/ATC_MagneticResonanceImaging_csg.pdf,Downloaded
Museum Studies,ATC,Course List,Museum_Studies_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6050.pdf,Downloaded
Museum Studies,ATC,Course Sequence,Museum_Studies_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/ATC_MuseumStudies_csg.pdf,Downloaded
Procurement Management,ATC,Course List,Procurement_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6003.pdf,Downloaded
Procurement Management,ATC,Course Sequence,Procurement_Management_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/ATC_ProcurementManagement_csg.pdf,Downloaded
Project Management,ATC,Course List,Project_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6004.pdf,Downloaded
Project Management,ATC,Course Sequence,Project_Management_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/ATC_ProjectManagement_csg.pdf,Downloaded
Supply Chain Analytics,ATC,Course List,Supply_Chain_Analytics_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/C6005.pdf,Downloaded
Supply Chain Analytics,ATC,Course Sequence,Supply_Chain_Analytics_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/ATC_SupplyChainAnalytics_csg.pdf,Downloaded
Advanced Automotive Service Technology - Tesla Technician,CTE,Course List,Advanced_Automotive_Service_Technology_-_Tesla_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/51000.pdf,Downloaded
Advanced Automotive Service Technology - Tesla Technician,CTE,Course Sequence,N/A,https://www.mdc.edu/teslactc/,PDF not found
Aircraft Structural Assembly and Fabrication Apprenticeship,CTE,Course List,Aircraft_Structural_Assembly_and_Fabrication_Apprenticeship_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/59005.pdf,Downloaded
Aircraft Structural Assembly and Fabrication Apprenticeship,CTE,Course Sequence,N/A,https://www.mdc.edu/aircraftassembly,PDF not found
Central Sterile Processing Technician,CTE,Course List,Central_Sterile_Processing_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/53014.pdf,Downloaded
Central Sterile Processing Technician,CTE,Course Sequence,Central_Sterile_Processing_Technician_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CTC_CentralSterileProcessingTechnician_csg.pdf,Downloaded
Commercial Class B Driving,CTE,Course List,Commercial_Class_B_Driving_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/56016.pdf,Downloaded
Commercial Class B Driving,CTE,Course Sequence,Commercial_Class_B_Driving_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CTC_CommercialClassBDriving_csg.pdf,Downloaded
Commercial Vehicle Driving,CTE,Course List,Commercial_Vehicle_Driving_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/56015.pdf,Downloaded
Commercial Vehicle Driving,CTE,Course Sequence,Commercial_Vehicle_Driving_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CTC_CommercialVehicleDriving_csg.pdf,Downloaded
Correctional Officer - State,CTE,Course List,Correctional_Officer_-_State_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/57021.pdf,Downloaded
Correctional Officer - State,CTE,Course Sequence,N/A,https://www.mdc.edu/statecorrectionalofficer,PDF not found
Dental Assisting Technology and Management,CTE,Course List,Dental_Assisting_Technology_and_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/53015.pdf,Downloaded
Dental Assisting Technology and Management,CTE,Course Sequence,Dental_Assisting_Technology_and_Management_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CTC_DentalAssistingTechnologyandManagement_csg.pdf,Downloaded
Fire Fighter Minimum Standards,CTE,Course List,Fire_Fighter_Minimum_Standards_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/57004.pdf,Downloaded
Fire Fighter Minimum Standards,CTE,Course Sequence,Fire_Fighter_Minimum_Standards_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CTC_FirefighterMinimumStandards_csg.pdf,Downloaded
Fire Fighter/Emergency Medical Technician - Combined,CTE,Course List,Fire_FighterEmergency_Medical_Technician_-_Combined_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/58000.pdf,Downloaded
Fire Fighter/Emergency Medical Technician - Combined,CTE,Course Sequence,Fire_FighterEmergency_Medical_Technician_-_Combined_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CTC_Firefighter-EmergencyMedicalTechnician_csg.pdf,Downloaded
Florida Law Enforcement Academy,CTE,Course List,Florida_Law_Enforcement_Academy_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/57022.pdf,Downloaded
Florida Law Enforcement Academy,CTE,Course Sequence,N/A,https://www.mdc.edu/lawenforcementbrt/,PDF not found
Licensed Practical Nursing (LPN),CTE,Course List,Licensed_Practical_Nursing_LPN_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/53020.pdf,Downloaded
Licensed Practical Nursing (LPN),CTE,Course Sequence,Licensed_Practical_Nursing_LPN_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CTC_LicensedPracticalNursing(LPN)_csg.pdf,Downloaded
Low Voltage Technician,CTE,Course List,Low_Voltage_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/56010.pdf,Downloaded
Low Voltage Technician,CTE,Course Sequence,Low_Voltage_Technician_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CTC_LowVoltage_csg.pdf,Downloaded
Massage Therapy - Accelerated Option,CTE,Course List,Massage_Therapy_-_Accelerated_Option_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/53021.pdf,Downloaded
Massage Therapy - Accelerated Option,CTE,Course Sequence,N/A,https://www.mdc.edu/massagetherapy/,PDF not found
Medical Assisting,CTE,Course List,N/A,https://www.mdc.edu/medicalassisting/,PDF not found
Medical Assisting,CTE,Course Sequence,N/A,https://www.mdc.edu/medicalassisting/,PDF not found
Pharmacy Technician,CTE,Course List,Pharmacy_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/53004.pdf,Downloaded
Pharmacy Technician,CTE,Course Sequence,N/A,https://www.mdc.edu/pharmacytechnician/,PDF not found
Phlebotomy Technician,CTE,Course List,Phlebotomy_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/53003.pdf,Downloaded
Phlebotomy Technician,CTE,Course Sequence,N/A,https://www.mdc.edu/phlebotomy/,PDF not found
Private Investigator Intern,CTE,Course List,Private_Investigator_Intern_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/57023.pdf,Downloaded
Private Investigator Intern,CTE,Course Sequence,N/A,https://www.mdc.edu/privateinvestigatorintern/,PDF not found
Private Security Officer,CTE,Course List,Private_Security_Officer_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/57006.pdf,Downloaded
Private Security Officer,CTE,Course Sequence,N/A,https://www.mdc.edu/privatesecurity/,PDF not found
