Major,Degree Type,Type,Filename,URL,Status
Funeral Service Education,AS,Course List,Funeral_Service_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
Funeral Service Education,AS,Course Sequence,Funeral_Service_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Game Development Design,AS,Course List,Game_Development_Design_Course_list_2025.pdf,N/A (existing file),Already Exists
Game Development Design,AS,Course Sequence,Game_Development_Design_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Graphic Design Technology,AS,Course List,Graphic_Design_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Graphic Design Technology,AS,Course Sequence,Graphic_Design_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Graphic Internet Technology,AS,Course List,Graphic_Internet_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Graphic Internet Technology,AS,Course Sequence,Graphic_Internet_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Health Information Technology,AS,Course List,Health_Information_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Health Information Technology,AS,Course Sequence,Health_Information_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Health Sciences,AS,Course List,Health_Sciences_Course_list_2025.pdf,N/A (existing file),Already Exists
Health Sciences,AS,Course Sequence,Health_Sciences_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Health Science - Health Services Management,AS,Course List,Health_Science_-_Health_Services_Management_Course_list_2025.pdf,N/A (existing file),Already Exists
Health Science - Health Services Management,AS,Course Sequence,Health_Science_-_Health_Services_Management_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Histologic Technology,AS,Course List,Histologic_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Histologic Technology,AS,Course Sequence,Histologic_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Hospitality Tourism Management,AS,Course List,Hospitality_Tourism_Management_Course_list_2025.pdf,N/A (existing file),Already Exists
Hospitality Tourism Management,AS,Course Sequence,Hospitality_Tourism_Management_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Interior Design Technology,AS,Course List,Interior_Design_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Interior Design Technology,AS,Course Sequence,Interior_Design_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Landscape Horticulture Technology,AS,Course List,Landscape_Horticulture_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Landscape Horticulture Technology,AS,Course Sequence,Landscape_Horticulture_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Marketing,AS,Course List,Marketing_Course_list_2025.pdf,N/A (existing file),Already Exists
Marketing,AS,Course Sequence,Marketing_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Music Business - Management and Marketing,AS,Course List,Music_Business_-_Management_and_Marketing_Course_list_2025.pdf,N/A (existing file),Already Exists
Music Business - Management and Marketing,AS,Course Sequence,Music_Business_-_Management_and_Marketing_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Music Business - Performance and Production,AS,Course List,Music_Business_-_Performance_and_Production_Course_list_2025.pdf,N/A (existing file),Already Exists
Music Business - Performance and Production,AS,Course Sequence,Music_Business_-_Performance_and_Production_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Networking Services Technology - Enterprise Cloud Computing,AS,Course List,Networking_Services_Technology_-_Enterprise_Cloud_Computing_Course_list_2025.pdf,N/A (existing file),Already Exists
Networking Services Technology - Enterprise Cloud Computing,AS,Course Sequence,Networking_Services_Technology_-_Enterprise_Cloud_Computing_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Networking Services Technology - Network Infrastructure,AS,Course List,Networking_Services_Technology_-_Network_Infrastructure_Course_list_2025.pdf,N/A (existing file),Already Exists
Networking Services Technology - Network Infrastructure,AS,Course Sequence,Networking_Services_Technology_-_Network_Infrastructure_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Nuclear Medicine Technology,AS,Course List,Nuclear_Medicine_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Nuclear Medicine Technology,AS,Course Sequence,Nuclear_Medicine_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Opticianry,AS,Course List,Opticianry_Course_list_2025.pdf,N/A (existing file),Already Exists
Opticianry,AS,Course Sequence,Opticianry_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Paralegal Studies - ABA Approved,AS,Course List,Paralegal_Studies_-_ABA_Approved_Course_list_2025.pdf,N/A (existing file),Already Exists
Paralegal Studies - ABA Approved,AS,Course Sequence,Paralegal_Studies_-_ABA_Approved_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Photographic Technology,AS,Course List,Photographic_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Photographic Technology,AS,Course Sequence,Photographic_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Physical Therapist Assistant,AS,Course List,Physical_Therapist_Assistant_Course_list_2025.pdf,N/A (existing file),Already Exists
Physical Therapist Assistant,AS,Course Sequence,Physical_Therapist_Assistant_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Professional Pilot Technology,AS,Course List,Professional_Pilot_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Professional Pilot Technology,AS,Course Sequence,Professional_Pilot_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Radiation Therapy,AS,Course List,Radiation_Therapy_Course_list_2025.pdf,N/A (existing file),Already Exists
Radiation Therapy,AS,Course Sequence,Radiation_Therapy_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Radiography,AS,Course List,Radiography_Course_list_2025.pdf,N/A (existing file),Already Exists
Radiography,AS,Course Sequence,Radiography_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Radio Television Broadcast Programming,AS,Course List,Radio_Television_Broadcast_Programming_Course_list_2025.pdf,N/A (existing file),Already Exists
Radio Television Broadcast Programming,AS,Course Sequence,Radio_Television_Broadcast_Programming_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Sign Language Interpretation,AS,Course List,Sign_Language_Interpretation_Course_list_2025.pdf,N/A (existing file),Already Exists
Sign Language Interpretation,AS,Course Sequence,Sign_Language_Interpretation_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Social and Human Services - Addictions Studies,AS,Course List,Social_and_Human_Services_-_Addictions_Studies_Course_list_2025.pdf,N/A (existing file),Already Exists
Social and Human Services - Addictions Studies,AS,Course Sequence,Social_and_Human_Services_-_Addictions_Studies_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Social and Human Services - Generalist,AS,Course List,Social_and_Human_Services_-_Generalist_Course_list_2025.pdf,N/A (existing file),Already Exists
Social and Human Services - Generalist,AS,Course Sequence,Social_and_Human_Services_-_Generalist_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Sport Management,AS,Course List,Sport_Management_Course_list_2025.pdf,N/A (existing file),Already Exists
Sport Management,AS,Course Sequence,Sport_Management_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Surgical Technology,AS,Course List,Surgical_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Surgical Technology,AS,Course Sequence,Surgical_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
TranslationInterpretation Studies,AS,Course List,TranslationInterpretation_Studies_Course_list_2025.pdf,N/A (existing file),Already Exists
TranslationInterpretation Studies,AS,Course Sequence,TranslationInterpretation_Studies_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Transportation and Logistics,AS,Course List,Transportation_and_Logistics_Course_list_2025.pdf,N/A (existing file),Already Exists
Transportation and Logistics,AS,Course Sequence,Transportation_and_Logistics_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Veterinary Technology,AS,Course List,Veterinary_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Veterinary Technology,AS,Course Sequence,Veterinary_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
